ARGUMENT,TYPE 
He further submitted that there is delay in lodging FIR.,PREMISE
"He further submitted that only with intent to to harass applicant/accused, false complaint is filed against him.",PREMISE
"He further submitted that as present applicant/accused never investigated deceased to commit suicide, therefore, section 306 of the IPC is not attracted.",PREMISE
"On the other hand, learned APP submitted that the suicide note was found in the possession of deceased shows that present applicant/accused and co­accused have harassed to deceased on count of demand of interest on hand loan amount, and also threatened to kill him, therefore, deceased committed suicide.",PREMISE
"He further submitted that as husband of complainant committed suicide, therefore, mental condition of complainant and other family members were not good, therefore, after completion of necessary rituals, she has lodged report at police station.",PREMISE
"He further submitted that there is sufficient material collected by Investigating officer to show involvement of present applicant/accused in alleged commission of offence, therefore, his custodial interrogation is necessary.",PREMISE
"On perusing police papers, prima facie, it reveals that on 30/12/2018, Radhika Mahamuni – widow of deceased lodged report at Sinhgad road police station, alleging in that the applicant/accused and other co­accused have threatened and harassed her husband on count of refund of hand loan amount with interest, therefore, deceased has committed suicide.",PREMISE
"Moreover, suicide chit found in the pocket of deceased shows that deceased had taken hand loan from present applicant/accused and other co­accused, but subsequently, present applicant/accused and other co­accused made demand on interest on hand loan amount, and on that count, they have threatened to kill deceased and also sent boys to the house of deceased in order to beat him, therefore, deceased has committed suicide.",PREMISE
"Thus, from the contents of suicide note, it is crystal clear that as present applicant/accused and other accused have threatened to kill to deceased and boys sent to his house to beat him, therefore, he committed suicide.",CONCLUSION
"Moreover, it appears that impugned suicide note has seized by Investigating officer.",PREMISE
"Complainant being widow after completion of rituals, she has lodged report to police station.",PREMISE
"Thus, prima facie, there is sufficient material on record to show involvement of present applicant/accused in the alleged commission of offence.",CONCLUSION
"Moreover, as per police report, it seems that applicant/accused is absconding since occurrence of offence.",PREMISE
"Moreover, it appears that if applicant/accused is released on bail, there is possibility that he will tamper the prosecution evidence.",PREMISE
"Supra cases on which, learned advocate for applicant/accused is relied are not applicable to the facts and circumstance in the case in hand.",PREMISE
"In the case in hand, in suicide note, there is specific allegations against present applicant/accused about they have threatened to kill to deceased, therefore, supra cases are not applicable to the case in hand.",PREMISE
"Taking into consideration all these facts and circumstances, in my view, applicant­ accused is not entitled to be released on anticipatory bail at this stage.",CONCLUSION
"Hence, application deserves to be rejected.",CONCLUSION
"Hence, I pass following order.",CONCLUSION
2] The Ld. APP and I.O. have filed their say and resisted the application.,PREMISE
3] Heard Ld. Counsel on behalf of applicant­accused Shri.A.,PREMISE
R. Bachakar and Ld.APP.,PREMISE
"4] Prima facie from record, it reveals that on 6/1/2019, at about 1.30 p.m. present applicant and other co­accused have abused on caste to the informant Prakash Sadashiv Shendge, one of the co­ accused gave fight on the face of the informant and other accused including present applicant have given kicks and blows to the Informant.",PREMISE
Co­accused Sagar Ghavate assaulted Informant by knife on his hand and abused him on his caste and threatened to kill him.,PREMISE
"5] Prima facie, present applicant was arrested on 7/1/2019 and since then he is in the Jail.",PREMISE
No purpose is going to be served by keeping the present applicant behind the bar.,CONCLUSION
There is no recovery or discovery from present applicant.,PREMISE
The alleged offences are not punishable death or life.,PREMISE
"Therefore, he is entitle for the bail.",CONCLUSION
Hence the order.,CONCLUSION
It is alleged that father of victim lodged report stating that his neighborer told him prior to 4 days to check pregnancy of victim.,PREMISE
"First informant and his wife inquired with victim and victim told that she and applicant were acquainted with each other since 2017 through friend namely Rupali, once applicant called her near Nala where he tried to create intimacy with her, she refused but he committed forcible sexual intercourse with her by giving threats.",PREMISE
Act was repeated since August 2017 till April 2018 from time to time and by giving threats.,PREMISE
As a result of which victim became pregnant.,CONCLUSION
3] According to applicant he is falsely implicated in this case.,PREMISE
There is delay in lodging report.,PREMISE
"During period since 01/08/2017 till 11/04/2018, victim never complained to anyone.",PREMISE
There is love affair between victim and applicant.,PREMISE
Her parents opposed relationship.,PREMISE
Victim consented for sexual relationship.,PREMISE
Applicant never forced victim.,PREMISE
Victim became pregnant and delivered baby boy on 18.12.2018.,PREMISE
"Subsequently, with the consent of parents of both applicant and victim their marriage was performed on 21.12.2018.",PREMISE
First anticipatory bail was rejected as investigation was going on.,PREMISE
But now due to subsequent development custodial interrogation with applicant is not required and there is no possibility of giving threat and pressure by applicant to victim.,PREMISE
Family members of applicant are depending on him.,PREMISE
"Applicant is resident of Hadapsar, Pune and has no criminal antecedents.",PREMISE
"Due to levelling of offences punishable under section 376(2) (i), 376(2)(n) of the Indian Penal Code and under section 4,8 of POCSO Act there is apprehension in his mind about the arrest.",PREMISE
"So, he prayed to grant protection under section 438 of Code of Criminal Procedure.",CONCLUSION
4] A.P.P. and I.O. objected application on the ground that investigation is in progress.,PREMISE
First Information Report was given against applicant .,PREMISE
As victim delivered child DNA examination is to be conducted.,PREMISE
Yet statement of victim under section 164 of Cr.P.C.,PREMISE
Entire investigation is going on.,PREMISE
Medical examination of victim and applicant is to be conducted.,PREMISE
Material information is to be gathered from applicant.,PREMISE
"So, as investigation is going on they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
From First Information Report role attributed to applicant can be gathered.,PREMISE
It revealed that applicant committed forcible sexual intercourse with victim from time to time and by giving threats.,PREMISE
Victim became pregnant and delivered child.,PREMISE
Investigation in that regard is going on.,PREMISE
"Subsequently, applicant come with case of performance of marriage with victim immediately after rejection of first anticipatory bail application.",PREMISE
In that regard he filed on record xerox copy of Nikah Register and date of marriage is 21.12.2018.,PREMISE
First anticipatory bail application was rejected on 19.12.2018.,CONCLUSION
6] Advocate of applicant also relied on affidavit of original complainant stating that due to marriage of applicant with victim as 3 Cri.Bail Application no. 13/2019 CNR No.,PREMISE
"Therefore, he also prayed to grant protection .",PREMISE
"However, one cannot ignore that at the time of incident victim was minor.",CONCLUSION
There is no much dispute about this fact.,PREMISE
"Moreover, yet statement of victim before Police and before Court under section 164 of Cr.P.C.",PREMISE
Police have to investigate so far as subsequent development after rejecting first anticipatory bail is concerned.,PREMISE
"Therefore, definitely material information is to be gathered.",CONCLUSION
Investigation in this matter is going on.,PREMISE
Due to delivery of child medical examination taking DNA samples are the procedural investigation part.,PREMISE
"In such circumstances and considering possibility of tampering prosecution evidence, it is not proper to grant interim protection to the applicant.",PREMISE
There is nothing on the record at present to show love affair between victim and applicant.,PREMISE
"Per contra, she narrated to her father about forcible sexual intercourse by applicant to her.",PREMISE
"Due to all above reasons, application deserves to be rejected with following order ­",CONCLUSION
[2] Perused the application and say given at Exh.10.,PREMISE
[3] Her learned advocate Mr. Deokar for the applicants and APP Mr. Aurangabadkar for the State.,PREMISE
"[4] The learned advocate Mr. Deokar for the applicants argued that the accused are falsely implicated in the present crime just because initially applicant no.1 had filed one report with police against the deceased, informant and his family members for the offence under section 306 of IPC, when his daughter committed suicide.",PREMISE
"He argued that the sessions trial is pending in the Sessions Court at Pune and now after the suicide of present informant's son, false complaint is filed on the same line against the present applicants.",PREMISE
"He argued that if the allegations in FIR are perused, the offence under section 306 of IPC is not made out.",PREMISE
There is no need of custodial interrogation of the accused.,PREMISE
"One co­accused is already arrested by the police and on the very first day of his production before Judicial Magistrate First Class, the accused was taken in MCR by holding ythat there was no need of custodial interrogation and said order is not challenged by police in the revision.",PREMISE
"He submitted that the applicants are law abiding citizens, having no criminal antecedents and they are ready to abide conditions if imposed.",PREMISE
[5] The learned APP argued that the offence in question is serious in nature.,PREMISE
The custodial interrogation of the applicants is needed.,PREMISE
He prayed for rejection of the anticipatory bail application.,CONCLUSION
[6] I have gone through the investigation papers produced by learned APP for my perusal.,PREMISE
"Prima­facie, it is clear from the averments in the FIR that deceased Ananta and late Amruta, the daughter of present applicant No.1 were having love relations and their marriage could not be solemnized and Amruta had committed suicide.",PREMISE
"Thereafter, present applicant no.1 had filed report against the family members of informant and crime came to be registered and sessions trial is pending.",PREMISE
"The learned advocate Mr. Deokar for the accused by referring the FIR registered on the report of applicant No.1 in the year 2013 argued that in the year 2013, the present applicant no.1 had alleged that the present informant Dilip Kamble did not consent for the marriage and he insulted deceased Amruta and, therefore, Amruta committed suicide.",PREMISE
"Now, in the present FIR, informant Dilip alleged that it was applicant no.1 who refused to consent for the marriage.",PREMISE
This is nothing but an attempt to book the applicants in false case.,PREMISE
"[7] The learned advocate Mr. Deokar submitted that without admitting the allegations, even if it is assumed for a moment that applicants alleged to have taunted deceased Ananta and demanded Rs. 5 lakh for withdrawing the allegations in sessions case, it cannot be said that it was done with intention to induce Ananta to commit suicide.",PREMISE
"According to the learned advocate, prima­facie the ingredients of Section 306 of IPC are not attracted.",CONCLUSION
"[8] The learned advocate for the applicants also referred the copy of first remand of arrested accused Haribhavu Bhagat and the order passed on it and argued that on very first production of the accused, the learned JMFC did not find that there is need of custodial interrogation of the applicants and remanded the arrested accused to judicial custody and the said order is not challenged, which is sufficient to indicate that the custodial interrogation of any of the accused is not required.",PREMISE
"[9] Having regard to the allegations made in the FIR against the accused / applicants, the fact that there was another case registered against the informant and his family members on the basis of report given by the present applicant No.1 for the offence under section 306 of IPC, the averments in that FIR, I find that the custodial interrogation of the present applicants is not necessary.",PREMISE
"Further, having regard to the allegations made in the FIR, the nature of the crime alleged, prima­facie I find that there is no specific role attributed to any of the applicants.",PREMISE
"Further, admittedly there are no criminal antecedents against the accused.",PREMISE
"Therefore, I find that the applicants in the present case are entitled for the anticipatory bail.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
[2] Perused the application and say given by respondent at Exh.3.,PREMISE
[3] Heard learned advocate Mr. Deokar for the applicant and APP Mr. Aurangabadkar for the State.,PREMISE
[4] The learned advocate Mr. Deokar for the applicant argued that the accused is falsely implicated in the present crime just because his brother had filed similar type of complaint against the informant and his family members when applicant's niece committed suicide.,PREMISE
"He further argued that from the FIR, prima­ facie it is not made out that accused abetted deceased Ananta to commit suicide.",PREMISE
"Admittedly, the applicant is Police­Patil and he has no criminal antecedents.",PREMISE
There is no likelihood of his getting absconded as he is permanent resident of Pune.,PREMISE
He prayed for release of accused on bail.,CONCLUSION
"[5] Per­contra, learned APP argued that the offence in question is serious in nature.",PREMISE
Having regard to the fact that accused / applicant is Police Patil and he is influential person and the possibility cannot be ruled out that he may tamper with the prosecution evidence.,PREMISE
He prayed for rejection of the application.,CONCLUSION
"[6] I have carefully gone through the FIR in the present crime and also the copy of the FIR registered by Haveli police station in the year 2013, in which the present informant and his family members are arrayed as accused for the offence under section 306 of the IPC.",PREMISE
"Admittedly, the present applicant / accused when was produced before JMFC on the first date of his production, was taken in judicial custody and the police machinery has not challenged the said order, it cannot be said that accused / applicant did not co­operate in the investigation.",PREMISE
"Having regard to the totality of the allegations made in the FIR, the nature of the offence and the above discussed circumstances, I find that no purpose will be served by keeping the accused / applicant behind bar.",PREMISE
"So far as apprehension expressed by the learned APP regarding tampering with the evidence, the care of the same can be taken by imposing needful conditions and hence the following order.",CONCLUSION
"It is alleged that victim aged about 17 years lodged report that on 05.01.2019 applicant i.e. friend of her brother followed her when she was returning to house from college and told her that he likes her and loves her, he thereby outraged her modesty.",PREMISE
3] According to applicant he is falsely implicated in this matter.,PREMISE
"He is taking education and permanently residing at Shukrawar Peth, Pune.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP objected this application on the ground that investigation is in progress.,PREMISE
"Applicant and victim are residing in same locality, so applicant will pressurize victim and witnesses.",PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
Applicant is interrogated.,PREMISE
Considering allegations and nature of offence investigation is practically over.,PREMISE
Personal custody of applicant is not required.,PREMISE
"Applicant is resident of Shukrawar Peth, Pune.",PREMISE
Applicant is student and his career is spoil if he remained in jail for unknown period.,PREMISE
Applicant has no criminal antecedents.,PREMISE
No purpose would serve by keeping the applicant behind bar for unknown period.,CONCLUSION
Due to all above reasons application deserves to be allowed with following order ­,CONCLUSION
"2] Applicant submits that, his wife approached to Chinchwad Police Station and thereby there is every likelihood that, police may register offence punishable under Sections 498­A and 406 read with Section 34 of Indian Penal Code against him.",PREMISE
He has received phone calls from the police.,PREMISE
"Therefore, he is having genuine apprehension.",PREMISE
"Applicant further submits that, he has not committed any crime.",PREMISE
"Due to domestic issues, Informant has approached to police.",PREMISE
"Hence, he prays for grant of Anticipatory Bail.",CONCLUSION
3] Heard the learned Adv. Mr. Indraprakash Arya for Applicant.,PREMISE
Perused the papers.,PREMISE
"4] Presently no crime is registered against Applicant, therefore, the application cannot be entertained.",PREMISE
"However, necessary direction can be given to concern investigation officer for giving prior notice to Applicants in case of registration of crime.",CONCLUSION
[2] Heard the Ld. Counsel for the Applicants.,PREMISE
"[3] It is alleged in the complaint that, the complainant Ashok Sadashiv Karande from the year 2008 till 2013 time to time borrowed money on interest from Applicant Nos. 1 and 2 for business purpose.",PREMISE
"However, the complainant had not paid the interest amount to Applicant No.1 and then Applicant No. 1 threatened to the complainant.",PREMISE
"If the complainant not paid the interest amount, he will take necessary legal action against the complainant.",PREMISE
"It is alleged that the applicant No. 2 demanded double interest on the principal amount from the complainant, also threatened complainant and forcefully taken two cheques from the complainant.",PREMISE
"On these allegations, the applicants prosecuted.",CONCLUSION
"[4] The Ld. Counsel for Applicants stated that, the applicants are innocent and have not committed any offence.",PREMISE
The custodial interrogation of the applicants is not required.,PREMISE
Nothing incriminating has to be discovered or recovered at the instance of applicants.,PREMISE
The ingredients of Section 49 of Money Lending Act is not attracted.,PREMISE
The applicants have not done any over act.,PREMISE
The custodial interrogation of the applicants is not necessary.,PREMISE
"Hence, prayed for ad­interim protection.",CONCLUSION
"[5] After hearing the Ld. Counsel for the applicants, there is reasonable apprehension in the mind of the applicants about their arrest at the hands of non­applicant.",PREMISE
"Hence, as settled position of Law, the Applicants are entitled for ad­interim Anticipatory bail till filing of reply by the Opponent.",CONCLUSION
"Hence, following order :­",CONCLUSION
"Prosecution case is that on 15/12/2018 at about 12.30 a.m. to 01 a.m., when complainant was taking dinner at Punyai Lunch Home, present applicant/accused and other co­accused assaulted on him with deadly weapon,with intent to commit his murder and caused grievous injuries.",PREMISE
Learned counsel for the applicant/accused submitted that applicant/accused has not committed any offence and he has been falsely implicated in this offence.,PREMISE
"He further submitted that in the FIR, there is allegation against the applicant/accused about he assaulted on victim by kicks and fists only, therefore, considering role played by applicant/accused, he be released on bail.",PREMISE
"On the other hand, learned APP submitted that present applicant/accused along with other co­accused, formed unlawful assembly and in prosecution of common object of said assembly,assaulted victim with deadly weapon, with intent to commit his murder.",PREMISE
"He further submitted that at this stage, role of the applicant/accused cannot be separated.",PREMISE
"He further submitted that blood stains clothes is seized from applicant/accused, which shows his involvement in the alleged commission of offence, therefore, his bail application be rejected.",CONCLUSION
"On perusing police papers, prima facie, it reveals that at about 6­16 a.m. on the basis of report lodged by injured Vishal Amrale, a Crime No.346/2018 came to be registered at Bibwewadi Police Station against present applicant/accused and other co­ accused.",PREMISE
"Moreover, in the FIR, it is alleged that on the count of previous quarrel, present applicant/accused and other co­accused have assaulted on victim.",PREMISE
"Moreover, in the FIR, it is alleged co­ accused­Ritesh and Aniket have assaulted on victim with sickle, and present applicant gave kicks and fists blow to victim.",PREMISE
"Moreover, it seems that Investigating officer has seized blood stains clothes of presnt applicant/accused.",PREMISE
"Injuryh certificate shows that on 15/12/2018, injured­Tushaar was admitted in Bharati Vidhyapeeth hospital with history of assault by unknown persons, and he has sustained injuries to his both hands and head etc.",PREMISE
"So far as role played by present applicant/accused is concerned, he gave only kicks and fist blows to the victim.",PREMISE
"Moreover, it appears that nothing is remained to be seized from the custody of the applicant/accused.",PREMISE
"Moreover, custodial interrogation of the applicant/accused is now not necessary.",PREMISE
"Therefore, considering all these aspects, in my view if present applicant­accused is released on bail on certain conditions, no prejudice will be caused to the prosecution.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
"The learned Counsel for the applicant has vehemently submitted that the offence under Section 304 (II) does not attract, however, learned Magistrate while rejecting the bail application erroneously observed that and directed the I.O. to add this Section.",PREMISE
Rest Sections are bailable.,PREMISE
"Since beginning the applicant is cooperating I.O., hence he deserves bail.",CONCLUSION
"On the contrary, learned Counsel for the complainant and AGP have submitted that soon after the accident, the applicant fled away, instead of referring the victims to hospital.",PREMISE
"Thus, his role is attributed from FIR.",CONCLUSION
"On going through FIR, it is conspicuous that on 26.12.2018 at 12.30 midnight, the informant accompanied with another pillion rider was travelling by two wheeler being driven by Areik.",PREMISE
"Near Arnold School, Adarshnagar, Vadgaonsheri, one four wheeler came from opposite direction and rammed on to scooter,.",PREMISE
"In that accident, duo sustained head injuries, a four wheeler did not stop, somebody referred them to Sahyadri Hospital and thereafter to Ruby Hospital, where duo were declared dead.",PREMISE
"Initially, offence under Section 304 A with allied sections of IPC and Motor Vehicles Act, however, when the accused was produced before Magistrate, on its own the Magistrate has added offence under Section 304(II) of IPC, by observing that accused had knowledge of consequences.",PREMISE
"There is no material on record that the accused was aware how much injuries were sustained by the victims and in ordinary course, they were sufficient to cause death.",PREMISE
It was just an accident.,PREMISE
"The only inaction on the part of the accused is that he could refer the victims to hospital, but he did not.",PREMISE
"For, the prosecution has charged by Section 132(a) of MV Act.",PREMISE
"Secondly, the applicant was apprehended on 04.01.2019 and since then he is behind bar.",PREMISE
"Between the period, maximum investigation could be completed.",PREMISE
"Thirdly, the applicant is professional interior designer, has no criminal antecedents, much less are not placed on record.",PREMISE
It is true that in the mishap two innocents have lost their lives.,PREMISE
"The FIR reveals that to some extent the deceased had invited peril, since there were two pillion riders.",PREMISE
"The possibility of losing balance soon after seeing another vehicle came from opposite direction at midnight or due to headlight thereof, cannot be ruled out.",PREMISE
"By detaining the applicant, no fruitful purpose could be served of prosecution, but to levy certain conditions would suffice the purpose.",PREMISE
"Considering nature of offence, the applicant has no criminal antecedents, is permanent resident of Pune, having own profession and maximum investigation is over, in my view applicant deserves conditional bail.",PREMISE
"Hence, the order :",CONCLUSION
[2] Perused the application and say given by respondent at Exh.6.,PREMISE
"Also, perused the written say and submissions filed by original complainant at Exh.12.",PREMISE
[3] The learned advocate Shri.Amodkumar for the applicants argued that accused are falsely implicated in the present crime.,PREMISE
"From the documents filed on record, it is clear that initially N.C. was filed against only two accused and subsequently delayed FIR is filed involving present accused / applicants.",PREMISE
There is delay in filing FIR.,PREMISE
These facts go to show that accused are falsely implicated in the present crime.,PREMISE
"The death of Dinkar was on 15.9.2018, but the FIR came to be filed on 4­1­2019 with extraordinary delay of three and half months and no proper explanation is coming on record.",PREMISE
The conduct of the complainant also shows that the FIR is filed just to harass the informant.,PREMISE
"If the police did not take cognizance immediately, then the informant could have moved to superior officers or could have filed the complaint in the court.",PREMISE
"In the complaint, Priyanka is unnecessary made party.",PREMISE
"Admittedly, there was matrimonial dispute.",PREMISE
"Therefore, possibility cannot be ruled out that accused are falsely implicated in the present crime by taking disadvantage of death of Dinkar.",CONCLUSION
The deceased had fallen on his own and the uncle and father of Priyanka had visited the hospital.,PREMISE
This shows their bonafides.,PREMISE
"He further argued that even if the allegations are taken to be true at this stage, the allegations are only against applicant Sanjay and applicant Chetan.",PREMISE
He further submitted that accused have no criminal antecedents.,PREMISE
"The offence under section 304 of IPC is not attracted and, therefore, the bail application maybe allowed and accused are ready to abide any condition.",PREMISE
"[4] While countering the argument, the learned advocate for the informant submitted that there is no delay in the FIR.",PREMISE
Initially N. C. was given against four persons and not against two persons as it is argued by the advocate of the applicants / accused.,PREMISE
"He further submitted that the detailed application was given to police on 05­09­2018, but police took no action.",PREMISE
"Then another application was given on 09­09­2018, but action was not taken by police.",PREMISE
The third application was given on 25­10­2018 and finally the application was given on 28­10­2018.,PREMISE
He has filed on record the copies of those applications.,PREMISE
He submitted that informant has continuously made efforts that police should take action on her application.,PREMISE
"Finally, after death of Dinkar and after getting opinion from the doctor regarding the cause of death, police took cognizance and registered FIR and for this delay, the informant cannot be blamed.",PREMISE
"He submitted that if we go through the allegations in the FIR, it is clear that accused / applicants had visited the house with intention to assault the husband of the informant and her son.",PREMISE
"Prima­facie, there is sufficient material to show the involvement of the applicants in the crime.",PREMISE
The offence in question is serious.,PREMISE
He prayed for rejection of the application.,CONCLUSION
"[5] The learned APP for police by adopting the arguments of Mr. Sinalkar, further argued that from the material on record, it is clear that accused had intention to assault the deceased and his son.",PREMISE
"On gathering all the circumstances, it can be inferred that accused / applicants had intention of assaulting the deceased and his son and not to settle the matter.",PREMISE
He prayed for rejection of the application.,CONCLUSION
[6] It was one of the arguments that offence under section 304 of the Indian Penal Code is not attracted.,PREMISE
"May be in the heat of moment, there was push and the deceased had fallen and the offence under section 304­A of the IPC is attracted.",PREMISE
I have gone through the FIR and the allegations made therein.,PREMISE
It is specifically alleged that applicant No.2 Arun and applicant No.4 Manoj rushed towards informant's son Dhanraj and assaulted him with kick and fist blows.,PREMISE
"When he shouted for help, deceased Dinkar tried to intervene.",PREMISE
That time accused / applicant Chetan gave kick blow on the abdomen of Dinkar and Dinkar had fallen on iron Sofa.,PREMISE
He started vomiting and felt giddiness.,PREMISE
That time accused / applicant No.1 Sanjay and accused / applicant No.3 Chetan again pushed deceased Dinkar on Sofa and Dinkar had fallen on iron handle of the Sofa and received injury to his head and became unconscious.,PREMISE
"Having regard to these allegations in the FIR and role attributed to each accused, prima­facie it is clear that accused / applicants had visited the house of informant with a plan.",PREMISE
"It is clear that it was not a single isolated push resulting into fall of deceased Dinkar, but in fact, Dinkar was assaulted and was pushed on iron Sofa.",PREMISE
"Dinkar was old person and because of the fall on iron rod, he received injury to his head and it is clear that subsequently he died due to head injury.",PREMISE
"Having regard to the role attributed to the each accused in the FIR, the nature of the crime and the gravity of the offence, I find that accused / applicants are not entitled for anticipatory bail.",PREMISE
"Hence, I pass the following order.",CONCLUSION
[2] Perused the application and say given by respondent at Exh.5.,PREMISE
[4] The learned advocate for the accused / applicant argued that the applicant is falsely implicated in the present crime just because she is daughter­in­law staying separate from the family because of the disputes between the husband and wife.,PREMISE
He argued that it is alleged that applicant's relatives had been to the house of accused and the alleged incident took place.,PREMISE
The FIR is silent about the presence of the accused / applicant at the time of incident.,PREMISE
The applicant is falsely implicated in the crime.,PREMISE
She has no criminal antecedents.,PREMISE
The custodial interrogation of the applicant is not necessary and she is ready to abide any condition if imposed.,PREMISE
She prayed for bail.,CONCLUSION
[5] Here I may note that another Criminal Bail Application No. 156/2019 arising out of the same crime is also pending for hearing with this case and in that case learned advocate Shri.,PREMISE
Sinalkar appeared through the informant opposing the anticipatory bail application of other co­accused.,PREMISE
"Sinalkar has not put his appearance in the present case, at Bar he fairly conceded that so far as applicant / accused Priyanka is concerned, she is not connected with the crime.",PREMISE
"[6] The learned APP Mr. Aurangabadkar for State fairly submitted that after going through the FIR, it appears that the applicant / accused Priyanka was not present at the time of incident.",PREMISE
"But, he submitted that the possibility that accused shared common intention with other co­accused cannot be ruled out.",PREMISE
He prayed for rejection of the application.,CONCLUSION
[7] I have gone through the FIR.,PREMISE
"It is clear from the FIR that at the time of incident, applicant Priyanka was not present at the spot of incident.",PREMISE
Only her name is appearing in the concluding part of the FIR.,PREMISE
"So, having regard to the allegations in the FIR and the arguments for the parties, I pass the following order.",CONCLUSION
"The learned Counsel for the applicant has submitted that since only two accused are apprehended from the scene of offence, no offence of rioting is made out.",PREMISE
"The applicant is in custody since 23.12.2018 between the period, investigation against two accused is completed, final report is furnished against them, warranting no custodial interrogation.",PREMISE
"Thus, the applicant deserves rule of parity.",CONCLUSION
"On the contrary, learned AGP submitted that the investigation is going on and identification parade is to be arranged.",PREMISE
"On going through record, it is conspicuous that on 06.08.2018 at about 2.30 a.m. informant had been to Railway Station.",PREMISE
He was telephoned by grandson of his aunt.,PREMISE
"While they were waiting for vehicle, one two­wheeler having two pillion riders arrived, one of them claimed Rs. 200/­ from the informant.",PREMISE
He ignored him.,PREMISE
Over which two of five ransacked the informant of cash amount and golden chain and fled away.,PREMISE
"Thus, there was involvement of trio unnamed assailants on public road.",CONCLUSION
Till date no identification parade seems to be scheduled.,PREMISE
"The learned Counsel for the applicant has relied upon pronouncement between Sanjay Chandra V/s. Central Bureau of Investigation Vinod Goenka V/s. Central Bureau of Investigation, Gautam Doshi V/s. Central Bureau of Investigation, Hari Nair V/s. Central Bureau of Investigation, Surendra Pipara V/s. Central Bureau of Investigation, AIR 2012 Supreme Court 830, wherein it is observed that the object of bail is generally to secure appearance of accused person at crime.",PREMISE
His object is neither punitive nor preventative.,PREMISE
The grant of bail is the rule.,PREMISE
"And, committal to­ jail, and exception.",PREMISE
"Refusal of bail is restriction on personal liberty of individual, granted by Article 21 of the Constitution of India.",PREMISE
"In view of above, applicant deserves parity.",CONCLUSION
"Hence, the order :",CONCLUSION
It is alleged that mother of victim lodged report stating that on 15/12/2018 victim aged about 5 years was playing near public toilet in their area.,PREMISE
"When she returned to house, she was in frightened condition.",PREMISE
"Upon inquiry with her, she told that on previous day when she was playing near public toilet, applicant was in toilet in nude condition, he called her near him and showed his private part.",PREMISE
Mother of victim went to house of applicant to ask him the reason of act.,PREMISE
He showed sickle to mother of victim and threatened to kill her if complaint filed in police station.,PREMISE
"3] According to applicant, he is falsely implicated in this matter.",PREMISE
His family members are depending upon him.,PREMISE
He is only earning member in his family.,PREMISE
Investigation is practically over.,PREMISE
He never misbehaved with victim.,PREMISE
There is delay in lodging report.,PREMISE
"He is permanently residing at Aundh, Dist­Pune.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP and I.O. objected this application on the ground that investigation is in progress.,PREMISE
Applicant will pressurize victim and 2 Cri.Bail Application no. 14/19 witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
"Previously in Sangvi Police Station, offence p/u/s 376,323 & 506 of IPC is filed against applicant.",PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
Applicant is interrogated.,PREMISE
Statements of most of the witnesses are recorded.,PREMISE
Recovery is made.,PREMISE
Considering allegations and nature of offence investigation is practically over.,PREMISE
Personal custody of applicant is not required.,PREMISE
Applicant is earning member of family and his family members are depending upon him.,PREMISE
"While considering the application for grant of bail, it is duty of the court to find out the role of the accused in the case in which he has been charged and other circumstances such as possibility of fleeing away from the jurisdiction of the court.",PREMISE
Ratio laid down in above citation is noted.,PREMISE
Applicant is resident of Aundh Pune.,PREMISE
"Moreover, investigation is almost over.",PREMISE
"Therefore, only on the ground of criminal antecedents, it is not proper to deny the bail.",CONCLUSION
"If strict conditions are imposed it will suffice the purpose Therefore, application deserves to be allowed with following order:",CONCLUSION
2] Informant Trupti Devekar is wife of Applicant.,PREMISE
"She alleged that, the marriage had taken place on 02/05/2018.",PREMISE
Present Applicant and co­accused ill­treated her.,PREMISE
"Present Applicant ill­treated for demand of Rs.10 Lakhs, as well as for performing marriage with another girl.",PREMISE
"So also, Applicant committed unnatural sex with her.",PREMISE
"Hence, she lodged the report by alleging incident in between dated 02/05/2018 to 10/08/2018.",CONCLUSION
"3] Applicant submits that, within short span of marriage, Informant has made general allegations about ill­treatment.",PREMISE
He has not committed any crime.,PREMISE
No recovery is pending against him.,PREMISE
He is reputed person having roots in the society.,PREMISE
He will abide by all conditions.,PREMISE
"4] Applicant further submits that, in the FIR, the demand of Rs.10 Lakhs is shown, but without giving the date or day, when the demand was made.",PREMISE
"Prior to the present FIR, Informant has approached to police on 10/08/2018 and one N.C. came to be registered.",PREMISE
"But that time, she did not allege about ill­treatment or unnatural sex.",PREMISE
"Applicant has also filed one photocopy of the letter of Informant dated 31/10/2018, in which Informant has stated that, now the matter has been settled between them and decided that, mutual consent divorce will be obtained.",PREMISE
"Therefore, she was not pressing her application.",CONCLUSION
"As such, Applicant submit that, this entire proceeding is filed just to obtain mutual consent divorce.",PREMISE
